name,latitude,longitude,authority,source,source
Forbestown,39.551012,-121.278784,California Independent System Operator,South Fork Feather River,South Fork Feather River
Kelly Ridge,39.531784,-121.491247,California Independent System Operator,South Fork Feather River,South Fork Feather River
Woodleaf,39.553811,-121.204077,California Independent System Operator,South Fork Feather River,South Fork Feather River
Broadway (CA),34.125400,-118.148000,California Independent System Operator,Municipality,Municipality
Craig (AK),55.476910,-133.148690,,Municipality,Municipality
Glenarm,34.126000,-118.149400,California Independent System Operator,Municipality,Municipality
Hydaburg,55.204937,-132.821435,,,
French Meadows,39.077971,-120.406069,California Independent System Operator,Middle Fork American River,Middle Fork American River
Middle Fork,39.024801,-120.596383,California Independent System Operator,Rubicon River,Rubicon River
Oxbow (CA),39.003372,-120.746651,California Independent System Operator,Middle Fork American River,Middle Fork American River
Ralston,39.000999,-120.725053,California Independent System Operator,Rubicon River,Rubicon River
Parker,37.477838,-120.444492,California Independent System Operator,Main Canal,Main Canal
Camino,38.828810,-120.537089,Balancing Authority of Northern California,Silver Creek,Silver Creek
Jaybird,38.834050,-120.531760,Balancing Authority of Northern California,Silver Creek,Silver Creek
Loon Lake,38.982697,-120.324503,Balancing Authority of Northern California,Gerle Creek,Gerle Creek
Robbs Peak,38.896511,-120.378292,Balancing Authority of Northern California,South Fork Rubicon,South Fork Rubicon
White Rock/Slab Creek,38.765336,-120.787366,Balancing Authority of Northern California,South Fork American River,South Fork American River
Devil Canyon,34.205600,-117.334400,California Independent System Operator,Water From Penstocks Ca Aquedu,Water From Penstocks Ca Aquedu
Edward C Hyatt,39.542985,-121.492188,California Independent System Operator,Water From Penstocks Oroville,Water From Penstocks Oroville
Thermalito,39.514893,-121.630077,California Independent System Operator,Wtr Fr Penstocks Thermal Foreb,Wtr Fr Penstocks Thermal Foreb
Don Pedro,37.695994,-120.420152,Turlock Irrigation District,Tuolumne River,Tuolumne River
La Grange,37.669700,-120.443600,Turlock Irrigation District,Tuolumne River,Tuolumne River
Folsom,38.706750,-121.158443,Western Area Power Administration - Desert Southwest Region,American River,American River
Judge F Carr,40.646934,-122.626973,Western Area Power Administration - Desert Southwest Region,Trinity River,Trinity River
Keswick,40.611858,-122.446441,Western Area Power Administration - Desert Southwest Region,Sacramento River,Sacramento River
Nimbus,38.637350,-121.220198,Western Area Power Administration - Desert Southwest Region,American River,American River
Shasta,40.717455,-122.422274,Western Area Power Administration - Desert Southwest Region,Sacramento River,Sacramento River
ONeill,37.098671,-121.047718,Western Area Power Administration - Desert Southwest Region,O'Neill Forebay - San Luis Cre,O'Neill Forebay - San Luis Cre
Parker Dam,34.295334,-114.140222,Western Area Power Administration - Desert Southwest Region,Colorado River,Colorado River
W R Gianelli,37.069200,-121.077200,California Independent System Operator,Wtr Fr Penstocks San Luis Res,Wtr Fr Penstocks San Luis Res
Spring Creek,40.628115,-122.467509,Western Area Power Administration - Desert Southwest Region,Whiskey Town Reservoir-Clear C,Whiskey Town Reservoir-Clear C
Trinity,40.797296,-122.762553,Western Area Power Administration - Desert Southwest Region,Trinity River,Trinity River
